Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1600127929492668417,"??????????????: ??????????????????????????
???? vs ????
#FIFAWorldCup https://t.co/1rkzfIHEyv",FC Barcelona,FCBarcelona,2022-12-06T14:00:01.000Z,Tue Dec 06 14:00:01 +0000 2022,2027,138,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,0,photo,https://pbs.twimg.com/media/FjO6UdPXwAMSIgh.jpg,,,
1600098105235496963,"?????????????? ???????? ???? ???? ??????????! ??

?? @Allianz_es https://t.co/JzycPXP9Mj",FC Barcelona,FCBarcelona,2022-12-06T12:01:31.000Z,Tue Dec 06 12:01:31 +0000 2022,1204,79,es,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,0,1,video,https://video.twimg.com/amplify_video/1600097939245993986/pl/42lfa0JzvOh7gCsJ.m3u8?tag=16&container=fmp4,,,
1600082629054926849,"? ???????? ???? ?????? ???????? ?

?? Is this goal from @Pedri the best Barça strike of 2022?

?? @play_eFootball",FC Barcelona,FCBarcelona,2022-12-06T11:00:01.000Z,Tue Dec 06 11:00:01 +0000 2022,2463,141,en,<a href="https://twitter.com" rel="nofollow">Twitter for Advertisers</a>,Tweet,,0,2,,,,,
1600052436147789824,"?????????????? ???????? ??????????????????
Atlético de Madrid ?? FC Barcelona
?? Sunday, January 8
? 9 pm CET
?? @LaLigaEN Matchday 16 https://t.co/MnRXxaQWB7",FC Barcelona,FCBarcelona,2022-12-06T09:00:02.000Z,Tue Dec 06 09:00:02 +0000 2022,2167,145,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,1,photo,https://pbs.twimg.com/media/FjSAsuzX0AA5VpV.jpg,,,
1600037594229866496,"G?AL OF THE DAY
?? #OTD in 2008, Thierry Henry scored a hat-trick in a 4-0 win against Valencia CF. https://t.co/kfQTzHEg9v",FC Barcelona,FCBarcelona,2022-12-06T08:01:04.000Z,Tue Dec 06 08:01:04 +0000 2022,2547,147,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,1,0,video,https://video.twimg.com/amplify_video/1600037537908772864/vid/480x270/Etit4uYOucUuYhTl.mp4?tag=16,,,
1599931880979193857,Monday vibes ?????? https://t.co/C7EHhClXfT,FC Barcelona,FCBarcelona,2022-12-06T01:01:00.000Z,Tue Dec 06 01:01:00 +0000 2022,2398,92,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,0,0,video,https://video.twimg.com/amplify_video/1599931841372356609/pl/51HTjALxXwNlimhU.m3u8?tag=16&container=fmp4,,,
1599874770199543808,"???????? ???????????? ??????
Next round ? https://t.co/Qy8FvHnRxz",FC Barcelona,FCBarcelona,2022-12-05T21:14:04.000Z,Mon Dec 05 21:14:04 +0000 2022,17532,705,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjPlfC8VUAAqUVA.jpg,,,
1599870698704752640,"Brazil and Raphinha progress to the quarter-finals of the #FIFAWorldCup ??

?????? Parabéns! https://t.co/rdtq69wYBI",FC Barcelona,FCBarcelona,2022-12-05T20:57:53.000Z,Mon Dec 05 20:57:53 +0000 2022,2390,153,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,0,photo,https://pbs.twimg.com/media/FjPhudtUoAApnUD.jpg,,,
1599854992470740992,"???? Halftime! 

4?? Brazil
0?? South Korea 

#FIFAWorldCup https://t.co/FekJOT8v0y",FC Barcelona,FCBarcelona,2022-12-05T19:55:28.000Z,Mon Dec 05 19:55:28 +0000 2022,4375,196,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,0,photo,https://pbs.twimg.com/media/FjPTlcaVsAA0zgf.jpg,,,
1599830885582667776,?? 11 in the XI https://t.co/izS0JRhWfp,FC Barcelona,FCBarcelona,2022-12-05T18:19:41.000Z,Mon Dec 05 18:19:41 +0000 2022,15020,430,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjO9WriVsAAuVoX.jpg,,,
1599828222577082369,"Raphinha is in the XI for Brazil! 

Good luck! ?????? #FIFAWorldCup https://t.co/FAPsCotvYO",FC Barcelona,FCBarcelona,2022-12-05T18:09:06.000Z,Mon Dec 05 18:09:06 +0000 2022,2185,113,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,https://twitter.com/CBF_Futebol/status/1599825854083002369 ,1,0,,,,,
1599826185315385344,Win a jersey signed by your favorite #FIFAWorldCup player!,FC Barcelona,FCBarcelona,2022-12-05T18:01:00.000Z,Mon Dec 05 18:01:00 +0000 2022,1467,72,en,<a href="https://twitter.com" rel="nofollow">Twitter for Advertisers</a>,Tweet,,1,0,,,,,
1599793454187520003,"Bon dia, Xaviiiiii!!!!! ?? https://t.co/VIFKEZX6nR",FC Barcelona,FCBarcelona,2022-12-05T15:50:56.000Z,Mon Dec 05 15:50:56 +0000 2022,4354,187,in,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,0,0,video,https://video.twimg.com/amplify_video/1599793428329545728/vid/320x570/PBgDMHKd8MRjtD8S.mp4?tag=16,,,
1599759884853350402,ARAUJ?? https://t.co/XS8Mjl6HYP,FC Barcelona,FCBarcelona,2022-12-05T13:37:33.000Z,Mon Dec 05 13:37:33 +0000 2022,37799,1238,lv,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjN8u-BXoAEsb8d.jpg,,,
1599757988251705344,???????????? ???????? | Sergi Roberto has been declared fit! ?? https://t.co/twrRVGZmHE,FC Barcelona,FCBarcelona,2022-12-05T13:30:01.000Z,Mon Dec 05 13:30:01 +0000 2022,5548,216,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjN2UDJXoAEqG1d.jpg,,,
1599752298334281728,?? Daily workouts resume! https://t.co/fHwekLcGok,FC Barcelona,FCBarcelona,2022-12-05T13:07:24.000Z,Mon Dec 05 13:07:24 +0000 2022,6841,260,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjNzeVkWAAEVBFK.jpg,,,
1599727883727114240,"?? Incredible unseen footage in our breathtaking documentary, '?? ?????? ??????'

Coming soon to Amazon @PrimeVideo",FC Barcelona,FCBarcelona,2022-12-05T11:30:23.000Z,Mon Dec 05 11:30:23 +0000 2022,3089,185,en,<a href="https://twitter.com" rel="nofollow">Twitter for Advertisers</a>,Tweet,,0,1,,,,,
1599720522715172865,"?? We present to you...  
   
?? ?? ?????? ?????? ??

Coming to @PrimeVideo soon ?? https://t.co/0wI0snmpgl",FC Barcelona,FCBarcelona,2022-12-05T11:01:08.000Z,Mon Dec 05 11:01:08 +0000 2022,7121,968,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,0,1,video,https://video.twimg.com/amplify_video/1599720451328073728/vid/640x360/3380TNu5UdjPkH6e.mp4?tag=16,,,
1599690046084288512,Today's Menu: ?????????? https://t.co/r2RqNzcAbj,FC Barcelona,FCBarcelona,2022-12-05T09:00:02.000Z,Mon Dec 05 09:00:02 +0000 2022,15211,546,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjLGKhrVIAAJ6-_.jpg,,,
1599675191684222976,"G?AL OF THE DAY
?? @EAbidalOfficial ??
Happy Monday, culers! https://t.co/A80ti0OhtH",FC Barcelona,FCBarcelona,2022-12-05T08:01:00.000Z,Mon Dec 05 08:01:00 +0000 2022,3818,188,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,0,1,video,https://video.twimg.com/amplify_video/1599675149384617984/vid/540x540/dhwdAsIFQEB8-_Zd.mp4?tag=16,,,
1599509226581278721,Discover the unseen footage of the men's and women's players guessing their #SpotifyWrapped ???? https://t.co/3VeAE1wwxB,FC Barcelona,FCBarcelona,2022-12-04T21:01:31.000Z,Sun Dec 04 21:01:31 +0000 2022,2070,120,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,1,0,video,https://video.twimg.com/amplify_video/1599509061489377282/vid/640x360/46302ueJWSQ1eU3y.mp4?tag=16,,,
1599454924655702017,Dembélé is feelin' good https://t.co/5q30g5WCvl,FC Barcelona,FCBarcelona,2022-12-04T17:25:45.000Z,Sun Dec 04 17:25:45 +0000 2022,25070,768,ht,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjJnsXEXkAErnqi.jpg,,,
1599452363206537216,"???? Lewandowski scored from the penalty spot, but couldn't get the win against France
#FIFAWorldCup https://t.co/EbZPMk2kcZ",FC Barcelona,FCBarcelona,2022-12-04T17:15:34.000Z,Sun Dec 04 17:15:34 +0000 2022,5506,204,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,0,photo,https://pbs.twimg.com/media/FjJk1YNXkAIl2gQ.jpg,,,
1599449867402690561,"???? France beats Poland (3-1) and makes it to the #FIFAWorldCup quarterfinals. Congratulations, @dembouz and @jkeey4! https://t.co/VStTARrB9D",FC Barcelona,FCBarcelona,2022-12-04T17:05:39.000Z,Sun Dec 04 17:05:39 +0000 2022,2408,138,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,2,photo,https://pbs.twimg.com/media/FjJi4UGX0AMMo7M.jpg,,,
1599448304365887489,? Qualified https://t.co/PCaFgoZz5E,FC Barcelona,FCBarcelona,2022-12-04T16:59:26.000Z,Sun Dec 04 16:59:26 +0000 2022,36519,1053,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjJhtvoWAAUmhOh.jpg,,,
1599415831573590016,"Coming up: France vs Poland
#FIFAWorldCup https://t.co/AkXne8UlMs",FC Barcelona,FCBarcelona,2022-12-04T14:50:24.000Z,Sun Dec 04 14:50:24 +0000 2022,7142,274,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,0,photo,https://pbs.twimg.com/media/FjJEKmjX0AMgtYw.jpg,,,
1599406055297273856,"???????? ???? ????????
???? or ???? https://t.co/lWPrbVJTTP",FC Barcelona,FCBarcelona,2022-12-04T14:11:33.000Z,Sun Dec 04 14:11:33 +0000 2022,3007,122,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjI7APzXgAMqKFS.jpg,,,
1599402839406628864,"???? Kounde and Dembélé are in the XI for France! 
Good luck, guys! #FIFAWorldCup https://t.co/0wiIGUzzpi",FC Barcelona,FCBarcelona,2022-12-04T13:58:47.000Z,Sun Dec 04 13:58:47 +0000 2022,1967,114,ht,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,https://twitter.com/equipedefrance/status/1599400783359115270 ,1,0,,,,,
1599402297380859905,"???? Lewandowski starts for Poland against France. Good luck, Robert! #FIFAWorldCup https://t.co/Nb6W3J2rKK",FC Barcelona,FCBarcelona,2022-12-04T13:56:37.000Z,Sun Dec 04 13:56:37 +0000 2022,3417,150,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,https://twitter.com/LaczyNasPilka/status/1599395598129430529 ,1,0,,,,,
1599395829634179072,"Who will win today? ??
#FRAPOL | #FIFAWorldCup https://t.co/Je073FNvnm",FC Barcelona,FCBarcelona,2022-12-04T13:30:55.000Z,Sun Dec 04 13:30:55 +0000 2022,2714,142,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,2,0,video,https://video.twimg.com/amplify_video/1599395807500943360/pl/p-aC1BkH01B9H0nS.m3u8?tag=16&container=fmp4,,,
1599365399073677313,?? ??? ????????¸??'?? ???????????? ???????????????? ????,FC Barcelona,FCBarcelona,2022-12-04T11:30:00.000Z,Sun Dec 04 11:30:00 +0000 2022,1824,85,ca,<a href="https://twitter.com" rel="nofollow">Twitter for Advertisers</a>,Tweet,,0,0,,,,,
